DAX,SMI,CAC,FTSE
1628.75,1678.10,1772.80,2443.60
1613.63,1688.50,1750.50,2460.20
1606.51,1678.60,1718.00,2448.20
1621.04,1684.10,1708.10,2470.40
1618.16,1686.60,1723.10,2484.70
1610.61,1671.60,1714.30,2466.80
1630.75,1682.90,1734.50,2487.90
1640.17,1703.60,1757.40,2508.40
1635.47,1697.50,1754.00,2510.50
1645.89,1716.30,1754.30,2497.40
1647.84,1723.80,1759.80,2532.50
1638.35,1730.50,1755.50,2556.80
1629.93,1727.40,1758.10,2561.00
1621.49,1733.30,1757.50,2547.30
1624.74,1734.00,1763.50,2541.50
1627.63,1728.30,1762.80,2558.50
1631.99,1737.10,1768.90,2587.90
1621.18,1723.10,1778.10,2580.50
1613.42,1723.60,1780.10,2579.60
1604.95,1719.00,1767.70,2589.30
1605.75,1721.20,1757.90,2595.00
1616.67,1725.30,1756.60,2595.60
1619.29,1727.20,1754.70,2588.80
1620.49,1727.20,1766.80,2591.70
1619.67,1731.60,1766.50,2601.70
1623.07,1724.10,1762.20,2585.40
1613.98,1716.90,1759.50,2573.30
1631.87,1723.40,1782.40,2597.40
1630.37,1723.00,1789.50,2600.60
1633.47,1728.40,1783.50,2570.60
1626.55,1722.10,1780.40,2569.40
1650.43,1724.50,1808.80,2584.90
1650.06,1733.60,1820.30,2608.80
1654.11,1739.00,1820.30,2617.20
1653.60,1726.20,1820.30,2621.00
1501.82,1587.40,1687.50,2540.50
1524.28,1630.60,1725.60,2554.50
1603.65,1685.50,1792.90,2601.90
1622.49,1701.30,1819.10,2623.00
1636.68,1718.00,1833.50,2640.70
1652.10,1726.20,1853.40,2640.70
1645.81,1716.60,1849.70,2619.80
1650.36,1725.80,1851.80,2624.20
1651.55,1737.40,1857.70,2638.20
1649.88,1736.60,1864.30,2645.70
1653.52,1732.40,1863.50,2679.60
1657.51,1731.20,1873.20,2669.00
1649.55,1726.90,1860.80,2664.60
1649.09,1727.80,1868.70,2663.30
1646.41,1720.20,1860.40,2667.40
1638.65,1715.40,1855.90,2653.20
1625.80,1708.70,1840.50,2630.80
1628.64,1713.00,1842.60,2626.60
1632.22,1713.50,1861.20,2641.90
1633.65,1718.00,1876.20,2625.80
1631.17,1701.70,1878.30,2606.00
1635.80,1701.70,1878.40,2594.40
1621.27,1684.90,1869.40,2583.60
1624.70,1687.20,1880.40,2588.70
1616.13,1690.60,1885.50,2600.30
1618.12,1684.30,1888.40,2579.50
1627.80,1679.90,1885.20,2576.60
1625.79,1672.90,1877.90,2597.80
1614.80,1663.10,1876.50,2595.60
1612.80,1669.30,1883.80,2599.00
1605.47,1664.70,1880.60,2621.70
1609.32,1672.30,1887.40,2645.60
1607.48,1687.70,1878.30,2644.20
1607.48,1686.80,1867.10,2625.60
1604.89,1686.60,1851.90,2624.60
1589.12,1675.80,1843.60,2596.20
1582.27,1677.40,1848.10,2599.50
1567.99,1673.20,1843.40,2584.10
1568.16,1665.00,1843.60,2570.80
1569.71,1671.30,1833.80,2555.00
1571.74,1672.40,1833.40,2574.50
1585.41,1676.20,1856.90,2576.70
1570.01,1692.60,1863.40,2579.00
1561.89,1696.50,1855.50,2588.70
1565.18,1716.10,1864.20,2601.10
1570.34,1713.30,1846.00,2575.70
1577.00,1705.10,1836.80,2559.50
1590.29,1711.30,1830.40,2561.10
1572.72,1709.80,1831.60,2528.30
1572.07,1688.60,1834.80,2514.70
1579.19,1698.90,1852.10,2558.50
1588.73,1700.00,1849.80,2553.30
1586.01,1693.00,1861.80,2577.10
1579.77,1683.90,1856.70,2566.00
1572.58,1679.20,1856.70,2549.50
1568.09,1673.90,1841.50,2527.80
1578.21,1683.90,1846.90,2540.90
1573.94,1688.40,1836.10,2534.20
1582.06,1693.90,1838.60,2538.00
1610.18,1720.90,1857.60,2559.00
1605.16,1717.90,1857.60,2554.90
1623.84,1733.60,1858.40,2575.50
1615.26,1729.70,1846.80,2546.50
1627.08,1735.60,1868.50,2561.60
1626.97,1734.10,1863.20,2546.60
1605.70,1699.30,1808.30,2502.90
1589.70,1678.60,1765.10,2463.10
1589.70,1675.50,1763.50,2472.60
1603.26,1670.10,1766.00,2463.50
1599.75,1652.20,1741.30,2446.30
1590.86,1635.00,1743.30,2456.20
1603.50,1654.90,1769.00,2471.50
1589.86,1642.00,1757.90,2447.50
1587.92,1638.70,1754.90,2428.60
